comment,sentiment_scores,sentiment,subjectivity,word_count
Hii I have completed data science course at udemy. How to try for job through linked in,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.0,17
Great video. Thanks!,"{'neg': 0.0, 'neu': 0.121, 'pos': 0.879, 'compound': 0.807}",Positive,0.475,3
Very Nice ❤️,"{'neg': 0.0, 'neu': 0.393, 'pos': 0.607, 'compound': 0.4754}",Positive,1.0,3
You have provided us with very good resources... thank you for that... Ken can you make a video on how to check a feasibility of a any data science project? Actually I tried one project in my college days but initially I thought it will be easy but when I got deeper it was really hard for me to complete and faced many difficulties....,"{'neg': 0.032, 'neu': 0.845, 'pos': 0.123, 'compound': 0.6993}",Positive,0.4507142857142857,64
Ken thank you so much for all these informations,"{'neg': 0.0, 'neu': 0.762, 'pos': 0.238, 'compound': 0.3612}",Positive,0.2,9
Thanks a lot Ken!! Your videos are really helpful 🙏🏻,"{'neg': 0.0, 'neu': 0.516, 'pos': 0.484, 'compound': 0.7634}",Positive,0.2,10
"Thank you very much, sharing these informations precious with us.
Wish you all the best!","{'neg': 0.0, 'neu': 0.378, 'pos': 0.622, 'compound': 0.9474}",Positive,0.52,15
How is AppliedAI course by Srikanth Verma?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.0,7
How do I decide which project to pick?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.0,8
Thank you for your videos!!!! I start to explore the world of data engineering/data science and your videos are what I need!!!,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.5673}",Positive,0.0,22
"iam watching your videos everyday man , thank you , you are such an inspiration","{'neg': 0.0, 'neu': 0.651, 'pos': 0.349, 'compound': 0.7096}",Positive,0.55,13
"Hi Ken. I recently started a PhD in soccer analytics. The datasets I will be working with include millions of rows and are highly complex. I don’t have much data science experience, I know that Python will be the main language I will code in. Any tips for learning sports analytics related programming effectively and efficiently? Is a ground up approach going to be the best way? Thanks","{'neg': 0.0, 'neu': 0.814, 'pos': 0.186, 'compound': 0.9195}",Positive,0.3604166666666667,70
Thank you for continuing to share and add to the community. I started Kaggle and you make a lot of good points about the benefits for the short and long run with it.,"{'neg': 0.0, 'neu': 0.726, 'pos': 0.274, 'compound': 0.8481}",Positive,0.4333333333333334,33
"Hi Ken, what do you think the Kaggle projects vs some Bootcamp projects?","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.0,13
"Great as usual , I've a question...I don't have a college degree neither in computer science or mathematics but just paid courses , and I'm learning constantly from kaggal , is a college degree in CS and Math is a must to become a data scientist or a professional portfolio works?","{'neg': 0.0, 'neu': 0.941, 'pos': 0.059, 'compound': 0.3716}",Positive,0.35833333333333334,52
"I've just started with Kaggle course on basic Python, that's amasing! Thank you for all your tips!","{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4738}",Positive,0.125,19
Can I get certificate after completing course or project from Kaggle?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.0,11
"Thanks Ken, you’re the best. I’m a lawyer who is going to learn data science from scratch. I already know a bit of Python thanks to you. Keep up the good work man!","{'neg': 0.0, 'neu': 0.663, 'pos': 0.337, 'compound': 0.9215}",Positive,0.325,37
Please include congnitiveclass.ai it's also very great. Nice job 👍,"{'neg': 0.0, 'neu': 0.38, 'pos': 0.62, 'compound': 0.868}",Positive,0.9875,11
God bless Ken!! Great information!!,"{'neg': 0.0, 'neu': 0.164, 'pos': 0.836, 'compound': 0.8798}",Positive,0.75,5
you are my heroe,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.0,4
"Hi Ken, Thank you for the video. Question; I'm older and thanks to covid going to be learning from scratch as you said, what should be the first language I start?","{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.6597}",Positive,0.2888888888888889,32
I'd start using kaggle from now on. I always love your videos. Great work Ken!,"{'neg': 0.0, 'neu': 0.583, 'pos': 0.417, 'compound': 0.8622}",Positive,0.675,16
"sub well deserved, thanks!","{'neg': 0.0, 'neu': 0.274, 'pos': 0.726, 'compound': 0.6476}",Positive,0.2,4
Great! Thank you,"{'neg': 0.0, 'neu': 0.127, 'pos': 0.873, 'compound': 0.784}",Positive,0.75,3
"Great video, a big thanks on the tips,just got a question: I am currently taking a machine learning course but I am using matlab, can matlab be a substitute for python in this case? and further on in data science, how essential is python comparing to matlab? Cheers!","{'neg': 0.0, 'neu': 0.807, 'pos': 0.193, 'compound': 0.852}",Positive,0.375,49
Wonderful presentation. Thanks very much for all the info!,"{'neg': 0.0, 'neu': 0.504, 'pos': 0.496, 'compound': 0.784}",Positive,0.48666666666666664,9
"Now, I am learning about data science field to begin my new career path. This video helps me a lot to guide my way into this field. I’m currently learning from 365 course and also am looking at other resources for further learning. I would like to say thank you and keep it up on your work. That means to me a lot!","{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.784}",Positive,0.4323863636363636,65
Thanks a lot for the guidance. This doesn't get any better!,"{'neg': 0.177, 'neu': 0.588, 'pos': 0.235, 'compound': 0.1989}",Positive,0.35,12
What do you think of the Harvard's CS109 course?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.0,10
"Hey Ken, I would like to thank you for your advice and recommendation, keep it up!","{'neg': 0.0, 'neu': 0.711, 'pos': 0.289, 'compound': 0.6476}",Positive,0.0,16
"Thanks Ken, this is what i have been searching for, Greatly appreciated .","{'neg': 0.0, 'neu': 0.581, 'pos': 0.419, 'compound': 0.7574}",Positive,0.15000000000000002,12
This channel is so underrated,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.0,5
You make Data Science look sexy 😉,"{'neg': 0.0, 'neu': 0.595, 'pos': 0.405, 'compound': 0.5267}",Positive,1.0,7
